News Name,Post Date,Post Links,Data inside Links,Image Link
"Hardships faced by public cannot be seen as fault of demonetisation, Centre tells Supreme Court","Dec 06, 2022 · 11:15 am",https://scroll.in/latest/1039123/hardships-faced-by-public-cannot-be-seen-as-fault-of-demonetisation-centre-tells-supreme-court,"Hardships faced by the public due to demonetisation cannot be considered a fault of the Centre’s 2016 decision to ban currency of Rs 500 and Rs 1,000 denominations, Advocate General R Venkataramani told the Supreme Court on Monday, reported the Hindustan Times.
“Difficulties and issues that might have arisen in the course of giving effect to the notification and the Specified Bank Notes (Cessation of Liabilities) Act, 2017, cannot be said to be flaws, affecting the decision-making process,” Venkataramani told a five-judge Constitution bench that is hearing 58 petitions challenging the demonetisation move.
On November 8, 2016, Prime Minister Narendra Modi had announced that Rs 500 and Rs 1,000 currency notes would cease to be legal tender in India from midnight. Modi had said that the decision had been taken to “fight corruption, black money and terrorism”.
Several persons, many of them elderly, had died while standing in long queues to exchange their money. As millions of families were left stranded with no cash, many even killed themselves after failing to exchange old notes for valid currency.
The petitioners have claimed that the exercise violated several constitutional rights of citizens, such as the right to property (Article 300A), right to equality (Article 14), right to carry on any trade, business or occupation (Article 19) and right to life and right to livelihood (Article 21).
On Monday, the attorney general said that it was not appropriate to consider only hardships faced by the public when the the government was addressing problems such as fake currency, black money and terror funding that had posed challenges to the country, reported Live Law.
He claimed that the government was successful in striking a balance between addressing these challenges and considering the social and economic distress caused by the decision.
“I am not saying that hardship has to be completely ignored,” Venkataramani said, according to Bar and Bench. “Hardships will inevitably happen, I am not closing my eyes to that at all. The government also did not close its eyes to it.”
The attorney general also said that even if the initial objective of the exercise was not achieved, the entire policy cannot be invalidated.
“Every minute of governance looks at targets,” he said. “The five-year plan has targets and then over a period of time, targets are either met or not met for a number of reasons.”
Venkataramani also argued that the cutoff date of December 30, 2016, fixed by the Centre to deposit old currency notes did not violate the fundamental rights of citizens.
“In all instances of fixation of a particular date, it stands to reason that there will be persons on both sides of the said line and those who are left out will be aggrieved by their exclusion,” he said. “As long as any exclusion is not deliberate or discriminatory, court will not test the validity of a cut-off date.”
Venkataramani added that the question raised on whether the government should explore non-currency management measures for addressing problems of black money and other matters is not subject to judicial review.",https://s01.sgp1.cdn.digitaloceanspaces.com/article/166842-dohahiiktk-1637937757.jpg
Madras High Court orders ban on mobile phones inside temples,"Dec 03, 2022 · 12:17 pm",https://scroll.in/latest/1038932/madras-high-court-orders-ban-on-mobile-phones-inside-temples,"The Madurai Bench of the Madras High Court on Friday asked the Hindu Religious and Charitable Endowment Department to ban the use of mobile phones inside all the temples in Tamil Nadu to maintain “purity and religious sanctity”, The New Indian Express reported.
The court issued the order in response to petitioner M Seetharaman from Tiruchendur in Thoothukudi district, who sought a ban on phones as devotees take pictures and film videos.
He has argued that cell phones could compromise the security of temples and that men could photograph women without their consent.
The petitioner cited the example of Meenakshi Sundareswarar Temple in Madurai where the ban has been adopted – the devotees are asked to keep their cell phones in lockers.
After hearing the petitioner, a division bench of Justices R Mahadevan and J Sathya Narayana Prasad noted that the Tiruchendur temple had already taken measures to ban cell phones on the premises.
The judges also said that there cannot be any dispute under Article 25 of the Constitution (Freedom of Religion), The Hindu reported. However, such freedom to act and practise can be subject to regulations, inside the premises of the temple, they added.
The temple authorities should ensure that the decency of worship and sanctity of the temple are maintained, the court said. Therefore, using mobile phones and cameras inside the premises, which diverts the attention of the devotees from the purpose of visiting the temple, can be regulated by the temple authorities, it added.",https://d1u4oo4rb13yy8.cloudfront.net/article/81601-kypmzmfodu-1518247954.jpg
"More than 16 crore Indians will face adverse effects of heatwaves from 2030, says World Bank","Dec 01, 2022 · 01:26 pm",https://scroll.in/latest/1038765/more-than-16-crore-indians-will-face-adverse-effects-of-heatwaves-from-2030-says-world-bank,"More than 16 crore Indians will face adverse effects of heatwaves from 2030 and approximately 3.4 crore persons will lose jobs due to heat-induced decline in productivity, a World Bank report said on Wednesday.
The heatwaves will shoot up the need for cooling, increasing the demand for air conditioners and other equipment. It will also prompt India to look for alternative and innovative cooling systems, the report said.
This need will open an investment opportunity of $1.6 trillion (over Rs 129 lakh crore) by 2040 besides reducing greenhouse gas emissions significantly and creating 37 lakh jobs, it said.
These observations were made in the World Bank’s “Climate Investment Opportunities in India’s Cooling Sector” report. It proposed a roadmap to support the India Cooling Action Plan 2019 through new investments in building construction, cold chains and refrigerants.
The report said that devising climate-responsive cooling techniques in private and government-funded constructions could ensure that underprivileged persons are not impacted by rising temperatures.
To reduce power consumption by 20%-30%, the bank has proposed a policy for district cooling technologies like generating chilled water in a central plant and distributing it to multiple buildings through underground insulated pipes. Such a system is cost-effective, it said.
The report also suggested framing guidelines to implement local and city-wide urban cooling measures such as cool roofs.
To reduce food and pharmaceutical wastage during transport due to higher temperatures, the report recommended fixing gaps in cold chain distribution networks. Investing in pre-cooling and refrigerated transport could help decrease food loss by about 76% and reduce carbon emissions by 16%, it said.
The improvements needed to bring cost-effective measures will also create 2 lakh jobs for trained technicians over the next two decades and reduce the demand for refrigerants by around 31%, the report added.
“India’s cooling strategy can help save lives and livelihoods, reduce carbon emissions and simultaneously position India as a global hub for green cooling manufacturing,” said Auguste Tano Kouamé, the World Bank’s Country Director in India.",https://s01.sgp1.cdn.digitaloceanspaces.com/article/173768-domynsphji-1651318429.jpg
NCP leader Nawab Malik denied bail in money laundering case,"Nov 30, 2022 · 04:58 pm",https://scroll.in/latest/1038691/ncp-leader-nawab-malik-denied-bail-in-money-laundering-case,"A special court in Mumbai on Wednesday refused bail to former Maharashtra minister Nawab Malik in a money laundering case involving fugitive gangster Dawood Ibrahim and his aides, reported PTI.
The Enforcement Directorate arrested the Nationalist Congress Party leader on February 23. Special Judge RN Rokade rejected his plea on Wednesday.
On November 14, the court had reserved the order in the case after hearing the arguments from both the sides.
Rokade was initially supposed to pass the order on November 23, but the court said that it had to go through large amounts of submissions in the case, reported The Indian Express.
Malik is in judicial custody and has been in a private hospital in Mumbai since May. The former state Cabinet minister had mentioned in his bail plea that there is no predicate offence against him to prosecute him for money laundering, reported PTI.
The Enforcement Directorate, however, opposed the bail stating that a case registered by the National Investigation Agency against Dawood Ibrahim, his sister Haseena Parkar and their associates is considered a predicate offence.",https://s01.sgp1.cdn.digitaloceanspaces.com/article/165585-smxdaudjfw-1635234548.jpg
"Sensex rises over 211 points, Nifty touches record high of 18,562","Nov 28, 2022 · 06:30 pm",https://scroll.in/latest/1038516/sensex-rises-over-211-points-nifty-touches-record-high-of-18562,"Equity markets on Monday touched a record high amid a decline in crude oil prices and major buying in index major Reliance Industries, PTI reported.
The 30-share BSE Sensex jumped 211 points to end at 62,504, while the broader 50-share NSE Nifty rose by 50 points to end at 18,562.
During the day, Sensex had jumped 407.76 points or 0.65% to its highest intra-day peak of 62,701.40.
Monday’s market gains were led by Reliance Industries which saw an increase of 3.48%. It was followed by Nestle, Asian Paints, Bajaj Finserv, Wipro, ICICI Bank and IndusInd Bank.
Tata Steel, Bharti Airtel, HDFC Bank, HDFC and Mahindra & Mahindra were among the laggards.
Vinod Nair, head of research at Geojit Financial Services, said that the market reversed its early losses despite unfavourable global cues, reported The Economic Times.
“Following the decline in oil prices, oil and gas stocks led the rally in anticipation of margin gains, as ongoing protests in China fuelled demand concerns,” Nair said. “Going ahead, global markets will depend on [US Federal Reserve Chair] Jerome Powell’s speech on Wednesday, which is crucial in maintaining the momentum.”
On Monday, the price of Brent crude stood at $80.92 (Rs 6,600.12) – its lowest since January 4, according to Reuters. Brent is a global price benchmark for crude oils from the Atlantic basin.",https://s01.sgp1.cdn.digitaloceanspaces.com/article/119777-xaoiafrmyk-1644235992.jpg
Himachal Pradesh election results: Congress secures majority by winning 40 out of 68 seats,"Dec 08, 2022 · 09:13 pm",https://scroll.in/latest/1039345/himachal-pradesh-election-results-congress-wins-40-out-of-68-seats-set-to-return-to-power,"The Congress on Thursday defeated the Bharatiya Janata Party in the Himachal Pradesh Assembly elections, securing 40 out of 68 seats.
The BJP won 25 seats, while Independent candidates secured victories in the remaining three constituencies.
With the elections results, the hill state has continued its tradition of voting out incumbent governments after each term. The last time that the state voted an incumbent government back to power was in 1985.
While the Congress surged comfortably ahead of the BJP in terms of seats, it was only marginally ahead in terms of vote share. The Congress got 43.9% of the votes, while the BJP received 43% of the popular mandate.
Other parties and Independents garnered 10.39% of the votes, while new entrant Aam Aadmi Party secured just 1.10% of the mandate.
Chief Minister Jairam Thakur tendered his resignation to Governor Rajendra Arlekar. He asserted that he would never stop working for the development of the state’s residents.
Thakur noted that the BJP lost the Himachal Pradesh elections by a difference of just 1% in vote share. “Congress won with least vote share in the state’s history,” he said, according to ANI. “But I respect the poll results. Hope Congress elects their chief minister soon and starts working for the state.”
Prime Minister Narendra Modi, while addressing BJP workers at the party headquarters, expressed gratitude to voters in Himachal Pradesh. He also said that the party lost by a very small margin.
Congress General Secretary Priyanka Gandhi Vadra thanked the residents of Himachal Pradesh for the party’s win in the state. “Best wishes to all Congress leaders and workers,” she said on Twitter. “Your hard work bore fruit.”
भारतीय राष्ट्रीय कांग्रेस को जनादेश देने के लिए हिमाचल प्रदेश की जनता का दिल से धन्यवाद व अभिवादन। ये जीत हिमाचल की जनता के मुद्दों व उन्नति के संकल्प की जीत है।

कांग्रेस पार्टी के सभी नेताओं व कार्यकर्ताओं को भी ढेर सारी शुभकामनाएं। आपकी मेहनत रंग लाई।
— Priyanka Gandhi Vadra (@priyankagandhi) December 8, 2022
Eight state ministers among losing candidates
Eight ministers in the outgoing government were defeated in their constituencies on Thursday, The Hindu reported.
They are Suresh Bharadwaj, Ram Lal Markanda, Sarveen Chaudhary, Virender Kanwar, Govind Singh Thakur, Rajiv Saizal, Rakesh Pathania and Rajinder Garg.
Chief Minister Jairam Thakur won from the Seraj constituency against the Congress’ Chet Ram by a margin of 38,183 votes.",https://s01.sgp1.cdn.digitaloceanspaces.com/article/184078-newdpsswiw-1670512373.jpg
"Choice of mother ultimate in cases involving fetal abnormalities, says Delhi High Court","Dec 06, 2022 · 02:29 pm",https://scroll.in/latest/1039152/choice-of-mother-ultimate-in-cases-involving-fetal-abnormalities-says-delhi-high-court,"The Delhi High Court on Tuesday held that the choice of a mother is ultimate in pregnancy cases involving fetal abnormalities, Live Law reported.
Justice Prathibha M Singh made the observation while allowing a 26-year-old married woman to terminate her pregnancy of 33 weeks.
The woman had approached the court after she found out that the fetus was suffering from certain cerebral abnormalities and her request for an abortion was declined by Delhi’s Lok Nayak Jai Prakash Narayan citing the advanced stage of pregnancy, reported Bar and Bench.
Under the Medical Termination of Pregnancy Act, abortion is permitted till 20 weeks of pregnancy. However, in September, a Supreme Court ruling expanded it to 24 weeks.
On Tuesday, Justice Singh, in her ruling, said that abortion rights have been a subject of debate across the world, reported PTI.
“India is amongst the countries that recognize the choice of a woman in its law and have even expanded this right in recent times with amendments permitting the termination at an advanced stage under various circumstances,” the judge said.
She also added that with the emergence of modern technology to detect abnormalities in an unborn child, the issues surrounding abortion are bound to become complex.
“Such technology coupled with the unpredictability of degree of an abnormality, even by medical practitioners, throw challenges to the manner in which a society may grow in the future,” Justice Singh said.
The court also acknowledged that women undergo a “severe dilemma” while taking a decision to terminate pregnancy in such cases, according to Live Law.
“Courts are no exception,” Justice Singh added. “Judges have to grapple with issues that are not merely factual and legal, but also involve ethical and moral factors.”
She also stressed on the importance of the report of the medical board constituted in such cases.
“Such opinions [by medical boards] cannot be sketchy and fragmented. They ought to be comprehensive in nature,” the judge said, according to Bar and Bench.
The court had previously expressed displeasure over the medical report submitted by the Lok Nayak Jai Prakash Narayan in the case, noting that it was incomplete.",https://s01.sgp1.cdn.digitaloceanspaces.com/article/169438-lzfwdhkegu-1643435731.jpg
"Communal polarisation in India defeats Narendra Modi’s G20 declaration, says Sitaram Yechury","Dec 06, 2022 · 12:31 pm",https://scroll.in/latest/1039121/communal-polarisation-in-india-defeats-narendra-modis-g20-declaration-says-sitaram-yechury,"Prime Minister Narendra Modi’s declaration for India’s G20 presidency that New Delhi would promote “universal sense of oneness” can be realised only if increased polarisation and economic downslide in the country is brought to a halt, Communist Party of India (Marxist) General Secretary Sitaram Yechury said at an all-party meeting on Monday.
India assumed the presidency of G20, or Group of 20 countries, on December 1. The presidency of the intergovernmental forum comprising the world’s major developed and developing economies is assumed by member countries on a rotational basis.
On Monday, Modi had convened an all-party meeting seeking their cooperation to make India’s presidential tenure a success in the lead up to the G20 summit scheduled to be held in the country in 2023.
Leaders of 15 parties spoke at the event with many of them underlining that India had become the G20 president by rotation, and that the government should not project it as an achievement, The Hindu reported.
In his speech, Yechury said that Vasudhaiva Kutumbakam – which the government projects as its principle for the preisdency – does not mean imposing uniformity but is the recognition of a global family where social pluralities are celebrated. Vasudhaiva Kutumbakam is a Sanskrit phrase that means the world is one family.
At the meeting, Modi announced that a domestic political campaign programme around the theme “One Earth-One Family-One Future” will be carried out during India’s one-year presidency.
To this, the CPI(M) general secretary said: “The realisation of the theme announced by the government will be determined by correcting these current alarming trends in social, political, and economic spheres and strictly adhering to our constitutional foundations of liberty, equality, and fraternity that define the character of our secular democratic republic.”
Chinese incursions should be in focus, says Congress
Congress President Mallikarjun Kharge said at the meeting that New Delhi should leverage its G20 presidency to push Beijing to put an end to its incursions within India’s borders, The Times of India reported.
Kharge also said that India should use the opportunity to secure a permanent membeship of the United Nations Security Council.
West Bengal Chief Minister and Trinamool Congress supremo Mamata Banerjee urged the government to keep a national agenda in mind during the one-year period, the Hindustan Times reported.
Tamil Nadu Chief Minister and Dravida Munnetra Kazhagam president MK Stalin offered his support to the Central government. Communist Party of India General Secretary D Raja asked the government to chalk out plans to take up matters concerning the Global South.",https://s01.sgp1.cdn.digitaloceanspaces.com/article/45571-jrpkjqlkgt-1567086733.jpg
Hyderabad University professor arrested for allegedly sexually assaulting student from Thailand,"Dec 03, 2022 · 03:02 pm",https://scroll.in/latest/1038943/hyderabad-university-professor-arrested-for-allegedly-sexually-assaulting-student-from-thailand,"A Hyderabad University professor was arrested on Friday for allegedly sexually assaulting a student from Thailand, reported The Indian Express.
Madhapur Deputy Commission of Police K Shilpavalli said that the incident came to light after the professor, Ravi Ranjan, dropped the student to the university five hours after taking her to his home.
“Her friends found her crying,” Shilpavalli said. “On being asked, she stated that the professor tried to molest her. The girl is a foreigner and only knows Thai.”
The police said they are hoping to get more details by getting a person who speaks Thai.
In her complaint, the student alleged that Ranjan offered her alcohol at his home where they were alone and then tried to molest her, reported the Hindustan Times. The professor has been booked under under Section 354 (assault or criminal force to woman with intent to outrage her modesty) of the Indian Penal Code.
The university criticised the incident and called it a matter of sexual assault. However, the police said that the student had not been sexually assaulted, according to the Hindustan Times.
Meanwhile, university students are protesting against the professor.
“Despite the severity of the issue, the registrar ignored all the calls and preferred to sleep peacefully at his home while the student community was gathered in support of the student the entire night,” the students’ union said in a statement. “There was a deliberate delay and passing around of responsibilities by the concerned authorities.”",https://s01.sgp1.cdn.digitaloceanspaces.com/article/183807-tsrmhchvic-1670059063.jpeg
"Uttar Pradesh: Village head arrested for making couple lick spit, beating woman","Dec 07, 2022 · 01:22 pm",https://scroll.in/latest/1039215/uttar-pradesh-village-head-arrested-for-making-couple-lick-spit-beating-woman,"The village head of Bahariyabad in Uttar Pradesh’s Ghazipur district was arrested on Tuesday for making a couple lick their spit and beating the married woman, the police told Scroll.in.
The couple was punished as the woman had married her lover against her family’s wishes, reported Crime Tak. The man and the woman had fled their homes but were found by the village head.
The video of the incident shows the village head, identified as Brajesh Yadav, abusing a woman while threatening to beat her with a stick. Yadav is seen telling the woman to lick the spit off the floor repeatedly as she refuses. He then hits her to make her do the act.
Yadav also removes her dupatta, a head scarf, as she tries to hide her face. After the woman licks her spit, he makes the man do it too.
Yadav said that he beat the woman as he was trying to convince her to listen to her parents.
The police said in a statement that Yadav has been booked under Sections 323 (voluntarily causing hurt), 354 (assault to woman with intent to outrage her modesty), 504 (intentional insult with intent to provoke breach of the peace), 506 (criminal intimidation) and 509 (word, gesture or act intended to insult the modesty of a woman).",https://s01.sgp1.cdn.digitaloceanspaces.com/article/183990-jovtapiefz-1670396555.jpeg
