Blogs Name,Links
"Trans teacher expelled from UP school, women’s panel takes cognizance",https://www.indiatoday.in/india/story/transwoman-teacher-expelled-uttar-pradesh-school-women-panel-cognizance-2306819-2022-12-08
ED attaches Rs 7.93 crore of TMC MLA in Bengal teacher recruitment scam,https://www.indiatoday.in/india/story/ed-attaches-tmc-mla-manik-bhattacharya-bengal-teachers-recruitment-scam-2306805-2022-12-08
ED attaches Archon Engicon's immovable properties worth Rs 77 crore for bank fraud,https://www.indiatoday.in/india/story/ed-attaches-archon-engicon-immovable-properties-crores-bank-fraud-2306789-2022-12-08
Newborn found dead inside toilet of govt school in TN’s Trichy; probe underway,https://www.indiatoday.in/india/story/newborn-found-dead-inside-toilet-govt-school-tamil-nadu-trichy-case-filed-probe-underway-2306809-2022-12-08
"Prodigal uncle returns? Akhilesh hands SP flag to Shivpal Yadav, hints at possible merger",https://www.indiatoday.in/india/story/shivpal-yadav-joins-samajwadi-party-after-sp-key-win-in-mainpuri-bypolls-2306799-2022-12-08
"Class 4 student complains of worms, stones in mid-day meals in Telangana’s Meerpet",https://www.indiatoday.in/india/story/telangana-meerpet-class-4-student-complains-of-worms-stones-mid-day-meals-2306767-2022-12-08
"Ranveer Singh confirms buying new house, Deepika Padukone says he'll inaugurate the kitchen",https://www.indiatoday.in/movies/celebrities/story/ranveer-singh-confirms-buying-new-house-deepika-padukone-says-hell-inaugurate-the-kitchen-2306817-2022-12-08
"Deepika Padukone or Ranveer Singh, ghar mein kiski chalti hain? Hear it from the couple",https://www.indiatoday.in/movies/celebrities/story/deepika-padukone-or-ranveer-singh-ghar-mein-kiski-chalti-hain-hear-it-from-the-couple-2306810-2022-12-08
Happy Birthday Pa Ranjith: 4 reasons why his brand of counterculture stands above the rest,https://www.indiatoday.in/movies/regional-cinema/story/happy-birthday-pa-ranjith-4-reasons-why-his-brand-of-counterculture-stands-above-the-rest-2306782-2022-12-08
Miya Biwi Ranveer Singh and Deepika Padukone rock Current Laga Re launch. See pics,https://www.indiatoday.in/movies/bollywood/photo/miya-biwi-ranveer-singh-and-deepika-padukone-rock-current-laga-re-launch-see-pics-2306791-2022-12-08
