Titles,Descriptions,Links,Dates,Arthurs
"Lasik Patients Should Be Warned of Complications, F.D.A. Draft Says","Draft recommendations by the agency describe dry eyes, visual disturbances and other side effects of the procedure. Surgeons say the benefits are being ignored.",https://www.nytimes.com//2022/12/07/health/lasik-injuries-fda.html,"Dec. 7, 2022",Roni Caryn Rabin
Global Partners May End Broad Covid Vaccination Effort in Developing Countries,"The board of Gavi, the international vaccine agency, meets Wednesday to debate shutting down the program, known as Covax, amid swiftly waning demand for the shots.",https://www.nytimes.com//2022/12/06/health/covid-vaccines-covax-gavi.html,"Dec. 6, 2022",Stephanie Nolen
Juul Agrees to Settle Thousands of Vaping Lawsuits,The deal is the latest in the company’s efforts to resolve litigation over its marketing of products that some contend fueled the teenage vaping crisis.,https://www.nytimes.com//2022/12/06/health/juul-settlement-lawsuits-teen-vaping.html,"Dec. 6, 2022",Christina Jewett
Natural History Museum Names College Leader as New Chief,"Sean M. Decatur, the president of Kenyon College and a biophysical chemist, will become the museum’s first Black leader when he succeeds Ellen V. Futter.",https://www.nytimes.com//2022/12/06/arts/design/natural-history-museum-sean-decatur.html,"Dec. 6, 2022",Robin Pogrebin
F.D.A. Report Faults Agency’s Food Unit for Leaderless Dysfunction,"Spurred by the infant formula crisis, a panel found that the agency shied away from tough decisions, sometimes fearing confrontations with industry over enforcement of critical public health issues.",https://www.nytimes.com//2022/12/06/health/fda-food-safety-report.html,"Dec. 6, 2022",Christina Jewett
Gems Made in the U.S.A.,"While the country isn’t in the same league as global producers, a large variety of beautiful stones are found within its borders.",https://www.nytimes.com//2022/12/05/fashion/gems-mines-united-states.html,"Dec. 5, 2022",Victoria Gomelsky
Mauna Loa Volcano in Hawaii Continues Its Eruption,"Lava flowed from Mauna Loa, the world’s largest active volcano, a week after it erupted for the first time since 1984.",https://www.nytimes.com//video/science/earth/100000008671319/volcano-hawaii-mauna-loa.html,"Dec. 4, 2022",
The Texas Group Waging a National Crusade Against Climate Action,"The Texas Public Policy Foundation is shaping laws, running influence campaigns and taking legal action in a bid to promote fossil fuels.",https://www.nytimes.com//2022/12/04/climate/texas-public-policy-foundation-climate-change.html,"Dec. 4, 2022",David Gelles
Who Will Care for ‘Kinless’ Seniors?,Nearly one million Americans have no immediate family members to provide assistance if needed. The number is expected to grow.,https://www.nytimes.com//2022/12/03/health/elderly-living-alone.html,"Dec. 3, 2022",Paula Span
How Has the Rising Cost of Long-Term Health Care Affected You?,"As inflation rises, assisted living and home health aides are becoming more expensive. We want to hear from people who are dealing with this type of financial stress.",https://www.nytimes.com//2022/12/02/health/long-term-care-costs-callout.html,"Dec. 2, 2022",Reed Abelson
