Post Name,Post Date,Links,Data inside Links
Twitter 2.0: Our continued commitment to the public conversation,"Wednesday, 30 November 2022",https://blog.twitter.com/en_us/topics/company/2022/twitter-2-0-our-continued-commitment-to-the-public-conversation,"Company
Twitter 2.0: Our continued commitment to the public conversation
By
Twitter Inc.
Wednesday, 30 November 2022
Twitter’s mission is to promote and protect the public conversation--to be the town square of the internet. We have always understood that to reach this goal we must give everyone the power to create and share ideas and information, instantly without barriers. Today, we are a new company embarking on a new chapter, but our steadfast commitment to this mission has not changed. In fact, we are better positioned to realize our ambitions than ever before. 
We’ve always understood that our business and revenue are interconnected with our mission; they rely on each other. Brand safety is only possible when human safety is the top priority. All of this remains true today.
What has changed, however, is our approach to experimentation. As you’ve seen over the past several weeks, Twitter is embracing public testing. We believe that this open and transparent approach to innovation is healthy, as it enables us to move faster and gather user feedback in real-time. We believe that a service of this importance will benefit from feedback at scale, and that there is value in being open about our experiments and what we are learning. We do all of this work with one goal in mind: to improve Twitter for our customers, partners, and the people who use it across the world.
As we carry out this work, we want to assure you of a few things: 
First, none of our policies have changed. Our approach to policy enforcement will rely more heavily on de-amplification of violative content: freedom of speech, but not freedom of reach.
Our Trust & Safety team continues its diligent work to keep the platform safe from hateful conduct, abusive behavior, and any violation of Twitter's rules. The team remains strong and well-resourced, and automated detection plays an increasingly important role in eliminating abuse.
When urgent events manifest on the platform, we ensure that all content moderators have the guidance they need to find and address violative content. 
As we improve our policies and processes, bad actors will also develop new methods of disruption. This is not new. Our team of experts is constantly adapting to identify and defuse threats, and we are proud of our early results: impressions on violative content are down over the past month, despite the growth in overall usage on the platform.
Finally, as we embark on this new journey, we will make mistakes, we will learn, and we will also get things right. Throughout, we’ll communicate openly with our users and customers, to get and share your feedback as we build. 
We remain committed to providing a safe, inclusive, entertaining, and informative experience for everyone. We will continue to be transparent as we move through this transition period. And we will listen to you, the people who make Twitter what it is: the town square of the internet. 
The Twitter Team
 "
"Twitter’s curation program with AFP expands to LATAM, Spain, and the US","Wednesday, 30 November 2022",https://blog.twitter.com/en_us/topics/product/2022/twitter-curation-program-afp-expands-spain-latam-us,"Product
Twitter’s curation program with AFP expands to LATAM, Spain, and the US
By
Twitter Latin America
Thursday, 27 October 2022
Estamos ampliando nuestros esfuerzos para identificar y elevar información creíble en Twitter.
It’s true: we’re expanding our efforts to identify and elevate credible information on Twitter.
Earlier this month, we told you about Twitter’s curation program with AFP in Brazil. This collaboration, which began as a pilot in 2021, helps our Curation Team add context to the wide range of Portuguese-language topics and conversations happening on Twitter.
Now we’re expanding the scope of our work with AFP to include Spanish-language content curation in LATAM, Spain, and the US. 
With the help of AFP, our Curation Team is now able to better scale and provide informative context on timely topics being discussed on Twitter in Spanish. We can also detect topics that are generating widespread interest in a more proactive way, including those that could potentially generate misleading information.
How and where does AFP curated content appear?
Just like our content curated by other trusted news agencies such as Reuters and The Associated Press, the content curated by AFP teams Latin America (AFP Factual for Spanish and AFP Checamos for Portuguese) is visible in the form of Moments that appear in various places throughout Twitter. These include:
Trends
Explore tab
Search
Prompts
Tweet labels
Another way we address misinformation via our Curation program is by publishing “debunks” relevant to the main misleading narratives circulating on Twitter. According to internal data, more than 9 million people per day come across at least one of these debunks while navigating our service. 
You may also see the information in Tweets posted by AFP or our other trusted curation partners.
Adding helpful context to Twitter
Our goal is to help people on Twitter easily access credible, contextualized information and make informed decisions about the content they choose to engage with. The expanded collaboration with AFP is the latest in a series of ongoing efforts to help bring us closer to that goal.
Earlier this month, we announced that the visibility of Birdwatch notes was expanding to everyone in the US. These notes are written and selected by people on Twitter, for people on Twitter, to add helpful context to Tweets in a transparent and collaborative way. Alongside AP and Reuters, AFP will help us evaluate Birdwatch notes in the US to understand how the service is performing.
Keep your eyes here or follow @Birdwatch for more updates."
Designing accessible sounds: The story behind our new chirps,"Wednesday, 30 November 2022",https://blog.twitter.com/en_us/topics/product/2022/designing-accessible-sounds-story-behind-our-new-chirps,"Product
Designing accessible sounds: The story behind our new chirps
By
Twitter Accessibility
and
Twitter Design
Wednesday, 26 October 2022
You may have noticed some new sounds on Twitter recently — things like the “chirps” you hear when refreshing your home timeline or requesting to speak in a Twitter Space. 
There’s a reason for that. 
As we work to improve the accessibility of our service, we’re updating Twitter’s sounds to help make them pleasing to more people, including those with sensory sensitivities. Here’s a quick look at what’s going on.
Designing new sounds together
Designing new, more accessible sounds requires disability representation throughout the design process. Thankfully, we’ve had a lot of help. 
Our neurodiverse team started by conducting research interviews and usability testing with people who self-identified as neurodivergent to better understand what kinds of sounds do and do not trigger sensory sensitivities. Guided by their input, we got to work with the audio experts at Listen creating a growing collection of new Twitter sounds designed to meet the following criteria:
Promoting accessibility for those with sensory sensitivities
Blending the organic and digital
Keeping sounds short and smooth
Attracting attention without being distracting
You can check some of them out for yourself below.
Play
Play
Seek
0% buffered
Current time
00:00
Duration
00:00
Toggle Mute
More sounds, and where to hear them
We’re happy to say that the first batch of new sounds for timeline refreshes and Twitter Spaces are now available globally on iOS and Android devices. Our design team is also working on additional audio updates for things like when you send a new Tweet or get a notification, so keep your ears open for more new sounds to come! 
Of course, try as we might, not all sounds are for everyone. If you prefer a silent Twitter experience, you can toggle sound effects on and off by following these steps:
On iOS: Settings and Privacy > Accessibility, display, and languages > Display and Sound. Toggle Sound Effects off
On Android: Settings and Privacy > Accessibility, display and languages > Display. Toggle Sound effects off"
A meme is born: How people are taking mixed media viral on Twitter,"Wednesday, 30 November 2022",https://blog.twitter.com/en_us/topics/insights/2022/meme-is-born-how-people-are-taking-mixed-media-viral-twitter,"Insights
A meme is born: How people are taking mixed media viral on Twitter
By
Twitter Inc.
Friday, 21 October 2022
Full disclosure: when Twitter releases a new feature into the wild, we don’t know exactly how people are going to use it.
It’s true. 
Sure, we have an idea. Usually it’s a pretty good idea. But we can only ever give people what amounts to a new canvas to work with. They (and you) are the ones who ultimately get to decide what goes on it. That’s the beauty of a public conversation that’s open to everyone — it leaves plenty of room for surprises and creativity. 
And there may be no better example of this than mixed media, a new feature that lets people mix and match up to 4 images, videos, and GIFs in a single Tweet. 
A meme is (re)born
Almost immediately after we announced the global release of mixed media in early October, people on Twitter got to work creating things like side-by-side reactions using one photo and one video or four-panel memes composed of three images and either a video or a GIF. 
To see this in action, look no further than (of all things) the revived “Pope Francis Holding Things” meme that dates all the way back to 2013.
Who saw that coming?
Attribution: @JimMFelton
Attribution: @Ryandoofy
Attribution: @PausedSponge
Attribution: @MissMechanikal
Attribution: @USWNT
People and brands get creative with mixed media
Of course, it’s not just one kind of mixed media meme (mixed meme-ia?) that’s getting all the attention. 
People, creators, and brands on Twitter are experimenting with the feature in a variety of clever ways to rack up millions of views and engagements. For brands that rely on Twitter to express a more witty and playful side, mixed media provides another way to jump on existing trends and even create new ones. And honestly, we’re absolutely loving it. 
Keep the creative ideas coming, and we’ll keep developing more ways to help you share them with the world.
Attribution: @DontShowYourCat
Attribution: @_IAmSaKo_
Attribution: @ghiblipicture
Attribution: @Minions
Attribution: @NetflixBrasil
Attribution: @NetflixIndia"
Taylor Swift’s “Midnights” reveals how music fans show up on Twitter,"Wednesday, 30 November 2022",https://blog.twitter.com/en_us/topics/insights/2022/taylor-swift-midnights-reveals-how-music-fans-show-up-twitter,"Insights
Taylor Swift’s “Midnights” reveals how music fans show up on Twitter
By
Twitter Music
Thursday, 20 October 2022
Music is…kind of a big deal on Twitter.
Every day, more than 30 million Tweets are published about music around the world. That’s more than 20,000 every minute. A couple thousand have probably even been added since you started reading this article. 
In honor of Taylor Swift’s massively anticipated Midnights album, we thought we’d give you a peek under the hood at the different ways music fans (like “Swifties”) show up on Twitter for their favorite artists. 
And scroll down for updated numbers on how ""Swifties"" have responded to Midnights on Twitter.
The Swift Report
There’s a kind of poetic logic to examining music on Twitter through a “Taylor Swift” lens. We’ve quite literally grown up together — her self-titled debut album was released in 2006, the same year Twitter was created.
Since 2010, Taylor Swift has been mentioned in 329 million Tweets. That’s an average of more than 75,114 Tweets every day for the past, oh, 4,380 days. In fact, when Red (Taylor’s Version) was released in November 2021, there were more Tweets about Taylor Swift than about football and basketball combined.
😳😳😳
Swifties are loud and proud on Twitter, too. The word “Swiftie” or “Swifties” has been Tweeted more than 18 million times over the past 12 years, usually accompanied by emojis like the red scarf (🧣) which saw a 25x increase in use on the day All Too Well (Taylor’s Version) was released. 
Speaking of All Too Well (Taylor’s Version), since 2019 it’s the most Tweeted about Taylor Swift song alongside Love Story (Taylor’s Version) and Wildest Dreams (Taylor’s Version).
Swifties' response to Midnights
The response to Midnights from fans on Twitter has been, well, swift. 
Since the album's release, there have been about 5 million Tweets about it, and nearly 4 million of those were published by the end of October 22. To put that in some perspective, Taylor Swift generated 2x more Tweet volume than NFL football on Thursday, October 20!
Fans can't get enough of three songs in particular: Anti-Hero, Lavender Haze, and Snow on the Beach, which make up the Top 3 most Tweeted-about songs since the release of Midnights. And there's lots of love to go around for Taylor's collaborators, as well. Mentions of Jack Antonoff, for example, grew 14x compared to the day before the album release!
Music: The largest community on Twitter
It’s true: music is the largest community on Twitter. With 441 million unique followers, people are more likely to follow a music-related account than any other type of account on Twitter.
It’s no surprise, then, that major music releases tend to be top events on Twitter. Take Harry Styles, whose Harry’s House album was Tweeted about more than 10 million times around the time of its release in May 2022. The conversation around music spikes on Fridays, when new albums usually drop.
So what will the conversation look like this Friday when Midnights is finally released? Keep your eyes here to find out, and follow @TwitterMusic to keep up with what’s happening with your favorite artists, albums, and more!"
"When natural disasters happen, Twitter can be used to help. Here’s how","Wednesday, 30 November 2022",https://blog.twitter.com/en_us/topics/company/2022/when-natural-disasters-happen-twitter-can-help-heres-how,"Company
When natural disasters happen, Twitter can be used to help. Here’s how
By
Twitter Inc.
Thursday, 13 October 2022
Over the years, Twitter has become a critical communication tool for responding to natural disasters.
Our teams have a longstanding commitment to working alongside global partners and developers to share important information, provide real-time updates, facilitate relief efforts, and much more. We also take steps to address misleading information that can surface during these crises. 
To help ensure our service remains a resource for as many people as possible, we’ve put together a snapshot of some of the ways Twitter can be used to help during natural disasters.
Supporting preparedness and increasing awareness
It’s important to raise awareness about natural disasters before they happen. That’s why Twitter regularly collaborates with organizations to keep people informed about and prepared for extreme weather and other potential emergencies.
In September, for example, Twitter Australia partnered with the Australian Red Cross on a Timeline and Trend Takeover campaign designed to help people prepare for weather-related emergencies. The #EmergencyReady campaign was viewed nearly 5 million times in 24 hours.
Being prepared for disasters means no one is left behind or overlooked. Twitter Australia generously provided national visibility of key safety messages about disaster preparedness, at a critical time of year for all Australians.
Andrew Coghlan
Head of Emergency Services, Australian Red Cross
Twitter partners frequently with crisis response organizations  all over the world to help enhance the capacity of those communicating with populations affected by natural disasters.
Sharing information and best practices
When it comes to staying safe during natural disasters, Twitter can be a powerful resource for sharing critical information.
In the wake of the 2017 Puebla earthquake in Mexico, for example, we collaborated with the International Federation of Red Cross and Red Crescent Societies (IFRC) to put together a shareable list of best practices for communicating on Twitter during times of crisis.
Similarly in 2021, as Japan approached the 10-year anniversary of the Tōhoku earthquake and tsunami, our team shared a set of illustrations with important information about how best to communicate on Twitter in an emergency situation. 
This year we went further, organizing Twitter Spaces events with local Japanese media and other social media platforms to discuss reporting strategies for disaster prevention and readiness. We also created a custom origami crane emoji and hashtags to encourage participation in critical conversations around the subject.
Amplifying credible information using search prompts
When people search for keywords on Twitter related to active emergency situations, we work to ensure they’re met with authoritative and credible information first. 
Search prompts are one important way we do this. When heavy flooding occurred in Pakistan beginning in June 2022, Twitter launched a #ThereIsHelp prompt to redirect our Pakistani audience to an emergency helpline at the Pakistani Red Crescent Society. Similarly, during this year’s Taal Volcano eruption in the Philippines and Typhoon Noru in Southeast Asia, search prompts were created to help quickly deliver credible information to people on Twitter impacted by these extreme weather events.
Organizing credible information in a centralized place
During natural disasters, Twitter has tools such as Moments and Lists that can be used to create a centralized source of credible information. 
In anticipation of 2022’s Hurricane Ian in the United States, for example, a Twitter Moment was created to elevate public service information as well as amplify announcements from local law enforcement and emergency services. Moments can also be used to address and correct misleading information, like when comments on hurricane preparedness made by the US president in August 2021 were mistakenly attributed to Hurricane Ian.
In addition to Moments, Twitter Lists can be used to collect and quickly share information about natural disasters and emergency services. In Japan, for example, a dedicated TwitterLifeline List has been created highlighting the Twitter accounts of prefectures, crisis organizations, and public transportation services. Twitter México recently published a list highlighting earthquake-related Tweets in real time.
Enabling partner initiatives and developer-built tools
There’s a long history of individuals and organizations finding innovative ways to harness the power of Twitter. 
For example, in India, partners in the medical industry came together to create @BloodDonorsIndia which amplifies the blood donation requests of individual patients dealing with a range of health problems. The account’s 1.2 million followers are able to reach potential donors that otherwise would have gone unreached, resulting in eight lives a day being saved through its efforts according to its own reporting.
In another example, developers in California used our API to create an automated Twitter account that has been documenting earthquakes in the San Francisco Bay area since 2009.
Twitter also builds data partnerships to better understand the conversations happening on the platform. Most recently, we analyzed four extreme weather events to better determine patterns of those affected by natural disasters and build predictions for future events.  
We’re continually working to improve the ways we help communities prepare for and communicate during emergencies. Keep your eyes on @Twitter for the latest updates.
The main reason I like [Twitter] as a source of data is that it integrates not just a measure of typical exposure — which is ‘Did the water come onto the land in a place where it wasn’t supposed to be? [It also] measures ‘What are people noticing? What are people talking about?’ Twitter can give us this aggregated measure of what those social consequences of that particular flood are.
Dr. Frances Moore
Assistant Professor in the Department of Environmental Science and Policy at University of California, Davis"
"Inclusion, Diversity, Equity, Accessibility Q3 2022: Accessibility","Wednesday, 30 November 2022",https://blog.twitter.com/en_us/topics/company/2022/inclusion-diversity-equity-accessibility-accessibility-October-20222,"Company
Inclusion, Diversity, Equity, Accessibility Q3 2022: Accessibility
By
James Loduca (he/him)
Tuesday, 11 October 2022
As the seasons begin to change around the world, we’ve been reflecting a lot on our Inclusion, Diversity, Equity, and Accessibility (IDEA) journey at Twitter. The wins, the learning moments, and the opportunities still to come. Despite the hurdles — and there have been plenty — you won’t find a company or group of employees more committed to this work. One of the things that makes this place so special is that it’s made up of individuals who show up each day with one powerful thing in common: the belief that we get to do great things with great people. We care deeply –– about Twitter, and about each other. It’s what fuels the work, and it’s what drives us toward becoming the world’s most inclusive, diverse, equitable, and accessible tech company. And that’s never changing.
In fact, we remain more committed than ever. This quarter was a testament. As progress towards our diversity goals slows, it can be dispiriting. But not at Twitter. We recognize that this work isn’t a moment in time; it's a continuous, conscious effort that requires us to be unwavering toward our goal. Come what may, we’re firm in where we’re going. Sometimes, that just means being flexible with our route.
So we flexed. We doubled down in areas that drive inclusion and where we knew we’d have immediate impact for our Tweeps. We built a framework for belonging, zoomed in on our equity work, and supercharged our accessibility efforts. And today, we’re proud to share more about our accessibility journey. Ultimately, accessibility is what empowers everyone to use their unique strengths and knowledge to do their best work, and its cornerstone in building the Twitter — both the product and the workplace — that we love.
Let’s take a look…
Forming our Accessibility Center of Excellence
We recognized early on that having a centralized source of expertise was vital in moving towards a fully accessible Twitter. In February 2021, we established our Accessibility Center of Excellence (COE) with Gurpreet Kaur, Head of Global Accessibility, at its helm. The Accessibility COE’s impact was immediate and widespread; working with partners across the business, they set clear goals, developed policies, and worked to improve the way people experience Twitter – in real life as Tweeps and on our service. Early wins included launch of new standards for accessible meetings and events, introduction of an internal accessibility hub to share best practices and resources with Tweeps eager to lean in, and a new process to evaluate accessibility for third party suppliers.
In 2022, we formally made accessibility part of our Inclusion & Diversity team, expanding our scope — and the opportunity for impact. From product development to marketing and communication strategies, to legal and people standards, we’ve made significant strides and are excited by the work we’ve accomplished so far. But we’ve only just begun to scratch the surface and there’s much more to do.
Improving the way we work — a Global Accessibility Policy
This work is global. Solving for the needs of Tweeps and the people who use our service anywhere and everywhere is how we’ll make Twitter truly accessible. With this in mind, our accessibility team kicked off work on a new Global Accessibility Policy in the first half of the year, designed to support our IDEA goals and improve our company in a way that hadn’t been done before.
The Global Accessibility Policy serves as a framework to ensure that we consistently participate in, influence, and deliver accessible experiences and products to everyone around the world. It will ensure that any net-new product and internal tool launches or purchases prioritize accessibility for Tweeps or customers with disabilities.
Here’s how:
At Twitter: The policy facilitates accessible and inclusive working experiences for all Tweeps with disabilities. These virtual and in-person experiences include recruitment, onboarding, meetings, career development tools, training, in our offices and more.
On Twitter: The planned policies will facilitate making our products, services, and communications (Tweets, marketing campaigns, etc.) accessible to people who use our service.
Commitment and action are critical to advancing this policy. This year, our Accessibility COE piloted the policy with three key organizations: Information Technology & Core Applications (IT), People & People Systems, and Procurement. Additionally, work on a Product policy is currently underway. Taking our Global Policy further, these org-specific policies are tailored for application and relevance:
IT & Core Tech: Establish tools and processes to support accessible development, including design systems, manual testing, and automated testing.
People: Ensure that working experiences (from home, from office, or both) are built so that they are inclusive to people with disabilities. Tweep experiences (benefits, compensation, recruitment) are inclusive to people with disabilities.
Procurement: Ensure that all net-new purchases of software that impacts all Tweeps and/or Customers are accessible to people with disabilities.
Product: Integrate accessibility best practices into every phase of the product development process and meet the latest published version of the Web Content Accessibility Guidelines.
We’re also proud to support Procure Access, a global cross-industry effort to grow the number of companies with accessible procurement programs. We’ve signed the Procure Access statement as a step to advance technology accessibility in our company and throughout the world.
Through our internal and external partnerships, training programs, and best practices documentation, the Global Accessibility Policy will weave accessibility throughout our core business functions to increase efficiency and impact, without loss of velocity.
Continuing to learn — accessibility-focused courses
We’ve said it before: this work takes all of us. No individual or team can carry us forward alone, and we know that our new Accessibility Policy will be most successful when supported by the understanding of both the “why” and the “how” behind accessibility and disability inclusion at Twitter.
We built three foundational accessibility courses for Tweeps, pulling in best practices and the latest research from our partners at Disability:IN and Business Disability Forum. This is intentionally “101” content to help broaden and expand awareness and understanding. To keep us accountable, the learnings are embedded in the roadmaps and goals of leaders across the business.  
Foundations of Accessibility: People come from different backgrounds and a variety of experiences and abilities. Accessibility is about removing barriers so everyone has fair and equal access. Take this course to broaden your perspective and understanding of the different ways and adaptations people may make for accessibility.
Disability Awareness: There’s no guidebook that tells us how to interact with people who have disabilities. But, this course is for anyone — with or without a disability — who wants to learn basics on how to connect more effectively with people who have disabilities. So, come with us on this journey to explore how to be more aware, more empathetic, and more inclusive.
Positive Communication: Get a 101 on positive language, which is crucial in inclusive communication. Plus, hear first-hand experiences from Tweeps who have disabilities. Let's continue our journey to be more intentional and build an accessible foundation for all.
And because we believe in sharing, these courses have been added to our #UntilWeAllBelong toolkit, available to everyone outside of Twitter too. Take a look, and join in on the journey. 
Driving accessibility on our service
Leading with accessibility makes Twitter better. When we build for disability inclusion, we build for us all. The Accessibility Experience team works with the engineering, product, design, and research teams for Twitter.com and our mobile application development. They ship accessibility features while providing internal training. They also partner with our various Product teams to improve the accessibility of Twitter.
Since doubling down on our accessibility journey, we’ve made key updates on our service. Take our public ALT (alternative text) badge and exposed image descriptions, for example. We’ve incorporated feedback and globally launched this feature to support people who are blind, have low vision, use assistive technology, live in low-bandwidth areas, or simply want more context. In September, we also launched the ALT text image description reminder so that everyone can take part. You can read more here in our how to write great image descriptions guide.
It’s our mission to give everyone the power to create and share ideas and information instantly without barriers, including people with disabilities/Disabled people. For the latest, follow @TwitterA11y and read more about our Accessibility features of Twitter.
All of us, together.
Our journey continues. Building the Twitter we all love takes a collective effort because inclusion, equity, diversity, and accessibility don’t happen in vacuums. It’s why we don’t do this work in private or in silos. It’s why, when we started our accessibility work, we created avenues for all Tweeps to lean in — and learn.
Along with our progress, we’re proud to share that Twitter was recognized as one of the “Best Places to Work for Disability Inclusion” for the second year in a row, receiving a top score on the Disability Equality Index.
People come to work at Twitter because they care. They care about the people and they care about the product. So whether you’re writing code, working on a marketing campaign, planning an event, designing a product feature, or hiring a candidate, you’re part of the work. Every Tweep is empowered to leverage available resources and be part of what makes us better. And the work won’t stop, #UntilWeAllBelong."
Helpful Birdwatch notes are now visible to everyone on Twitter in the US,"Wednesday, 30 November 2022",https://blog.twitter.com/en_us/topics/product/2022/helpful-birdwatch-notes-now-visible-everyone-twitter-us,"Product
Helpful Birdwatch notes are now visible to everyone on Twitter in the US
By
Community Notes
Thursday, 6 October 2022
As of November 2022, Birdwatch is now Community Notes.
We’ve been piloting our Birdwatch program for over a year to bring helpful context to Tweets in a transparent and collaborative way.
Now for the first time, we’re expanding the visibility of Birdwatch notes — written and selected by people on Twitter, for people on Twitter — to everyone in the US.
Starting today, if you’re using Twitter in the US, you’ll begin to see some Tweets accompanied by a note containing relevant information that’s been rated “Helpful” by Birdwatch contributors. Most notes contain additional sources that can be clicked for an even deeper dive into a subject or conversation.
You'll also have the ability to rate the notes you see to help us understand if they’re helpful or not.
Keeping Birdwatch notes helpful for everyone
Birdwatch is made up of independent contributors, and individual notes are never written by Twitter, Inc. This is intentional, as it helps ensure our efforts to address potentially misleading information are informed by a diverse group of people who use our service.
The program is designed to surface notes that are informative and helpful to as many people as possible thanks in large part to what’s known as a bridging algorithm. Here’s how it works: 
In order to be shown on a Tweet, Birdwatch notes need to be found helpful by people who have tended to disagree in their past ratings. This means the algorithm takes into account not only how many contributors rated a note as Helpful or Not Helpful, but also whether people who rated it seem to come from different perspectives. Check out our Birdwatch guide for more info on this.
In many online spaces, especially those using engagement-based ranking, divisive content can be more likely to go viral. Bridging-based ranking systems aim to overcome this 'bias toward division'. Birdwatch’s use of bridging to elevate context found helpful by people that tend to disagree is an exciting step toward a better internet — one that supports those building common ground.
Aviv Ovadya
Technology and Public Purpose Fellow, Belfer Center at Harvard Kennedy School (2021-2022)
@metaviv
Additionally, to keep the quality of notes high and encourage contributors to write and rate notes in a thoughtful way, we developed a Birdwatch onboarding process through which new contributors earn the ability to write notes by consistently rating other contributors’ notes and reliably identifying those that are Helpful and Not Helpful. 
Expanding Birdwatch based on positive results
We’re opting to expand the visibility of Birdwatch notes to everyone in the US based on research that indicates the program is helpful and informative to people who hold different points of view.
According to the results of four surveys run at different times between August, 2021 and August, 2022, a person who sees a Birdwatch note is, on average, 20-40% less likely to agree with the substance of a potentially misleading Tweet than someone who sees the Tweet alone. Survey participation ranged from 3,000 to more than 19,000 participants, and the results were consistent throughout the course of the year, even as news and Tweet topics changed.
We also see that Birdwatch informs sharing behavior. Analyzing our internal data, we’ve found that a person on Twitter who sees a note is, on average, 15-35% less likely to choose to Like or Retweet a Tweet than someone who sees the Tweet alone.
In our most recent survey, notes were found to be informative regardless of a person's self-identified political party affiliation — there was no statistically significant difference in average informativeness across party ID. 
An open and transparent process
We believe that earning trust starts with transparency. That’s why we’ve made the Birdwatch algorithm publicly available on GitHub, along with all the data that powers it, so anyone can audit, analyze, or suggest improvements. Whether you’re a researcher, a hobbyist, or simply curious, you can explore and run the Birdwatch algorithm on your own computer using the guide link shared above. 
You can also keep up to date with all things Birdwatch by following our official @Birdwatch Twitter account, or click this link to apply to become a Birdwatch contributor and help improve the health of conversations on Twitter."
New video products make it easier to watch what’s happening on Twitter,"Wednesday, 30 November 2022",https://blog.twitter.com/en_us/topics/product/2022/new-video-products-make-easier-watch-what-happening-twitter,"Product
New video products make it easier to watch what’s happening on Twitter
By
Twitter Inc.
Thursday, 29 September 2022
Videos are a huge part of the public conversation, and they’re one of the most engaging ways people can express themselves online. In fact, videos shared on Twitter receive billions of combined views every year (that’s billions with a “b”).
To help make it easier to find and watch what’s happening, we’re rolling out two new updates to how you experience videos on Twitter starting today. Here’s a quick look at what you can expect, and how to use them. 
Immersive viewing and easy discovery
Twitter’s updated immersive media viewer expands videos to full screen with a single click, allowing you to easily access the full, immersive viewing experience. To activate it, simply tap/click on a video in the Twitter app.
Once the video has been launched in full screen mode, we’ve made video discovery easier as well. Just scroll up to start browsing more engaging video content. If you want to exit the viewer and go back to the original Tweet, click the back arrow in the top left corner.
Our immersive media viewer will be available in the coming days to people using Twitter in English on iOS.
Showing more videos in Explore
Say hello to the newest addition to Twitter’s Explore tab. 
With our new video carousel, you can now easily find more videos you like alongside Tweets and Trends that might interest you. Just open the Explore tab to discover some of the most popular videos being shared on Twitter. 
The video carousel is currently available to people in select countries using Twitter in English on iOS and Android.
Making Twitter the best place for video 
We want to make it easy for everyone to use our service in the way that best fits their needs, and videos (including fun movie teasers) an important part of that.
Keep your eyes on Twitter for more updates on how we’re working to improve your media experience."
Twitter 2.0: Our continued commitment to the public conversation,"Wednesday, 30 November 2022",https://blog.twitter.com/en_us/topics/company/2022/twitter-2-0-our-continued-commitment-to-the-public-conversation,"Company
Twitter 2.0: Our continued commitment to the public conversation
By
Twitter Inc.
Wednesday, 30 November 2022
Twitter’s mission is to promote and protect the public conversation--to be the town square of the internet. We have always understood that to reach this goal we must give everyone the power to create and share ideas and information, instantly without barriers. Today, we are a new company embarking on a new chapter, but our steadfast commitment to this mission has not changed. In fact, we are better positioned to realize our ambitions than ever before. 
We’ve always understood that our business and revenue are interconnected with our mission; they rely on each other. Brand safety is only possible when human safety is the top priority. All of this remains true today.
What has changed, however, is our approach to experimentation. As you’ve seen over the past several weeks, Twitter is embracing public testing. We believe that this open and transparent approach to innovation is healthy, as it enables us to move faster and gather user feedback in real-time. We believe that a service of this importance will benefit from feedback at scale, and that there is value in being open about our experiments and what we are learning. We do all of this work with one goal in mind: to improve Twitter for our customers, partners, and the people who use it across the world.
As we carry out this work, we want to assure you of a few things: 
First, none of our policies have changed. Our approach to policy enforcement will rely more heavily on de-amplification of violative content: freedom of speech, but not freedom of reach.
Our Trust & Safety team continues its diligent work to keep the platform safe from hateful conduct, abusive behavior, and any violation of Twitter's rules. The team remains strong and well-resourced, and automated detection plays an increasingly important role in eliminating abuse.
When urgent events manifest on the platform, we ensure that all content moderators have the guidance they need to find and address violative content. 
As we improve our policies and processes, bad actors will also develop new methods of disruption. This is not new. Our team of experts is constantly adapting to identify and defuse threats, and we are proud of our early results: impressions on violative content are down over the past month, despite the growth in overall usage on the platform.
Finally, as we embark on this new journey, we will make mistakes, we will learn, and we will also get things right. Throughout, we’ll communicate openly with our users and customers, to get and share your feedback as we build. 
We remain committed to providing a safe, inclusive, entertaining, and informative experience for everyone. We will continue to be transparent as we move through this transition period. And we will listen to you, the people who make Twitter what it is: the town square of the internet. 
The Twitter Team
 "
